year	event	city	source_url	sponsor	sponsor_name	sponsor_role	sponsor_sector	sponsor_type	sponsor_domain	sponsor_url	organiser	order
2009	useR!	Rennes	https://www.r-project.org/conferences/useR-2009/	Agrocampus Ouest	Agrocampus Ouest	academic	public	higher education	agronomy	http://www.agrocampus-rennes.fr/	1	1
2009	useR!	Rennes	https://www.r-project.org/conferences/useR-2009/	R Foundation	R Foundation for Statistical Computing	academic	nonprofit	software developer	statistics	http://www.r-project.org/foundation/		2
2009	useR!	Rennes	https://www.r-project.org/conferences/useR-2009/	M. Rennes	Rennes Métropole	government	public	government	NA	http://www.rennes-metropole.fr/		3
2009	useR!	Rennes	https://www.r-project.org/conferences/useR-2009/	Ille-et-Vilaine	Département d'Ille-et-Vilaine	government	public	government	NA	http://www.ille-et-vilaine.fr/		4
2009	useR!	Rennes	https://www.r-project.org/conferences/useR-2009/	M. Rennes	Ville de Rennes	government	public	government	NA	http://www.rennes.fr/		5
2009	useR!	Rennes	https://www.r-project.org/conferences/useR-2009/	ENSAI	École Nationale de la Statistique et de l'Analyse de l'Information	academic	public	higher education	statistics,computer science	http://www.ensai.com/		6
2009	useR!	Rennes	https://www.r-project.org/conferences/useR-2009/	ENS Cachan	ENS Cachan Bretagne	academic	public	higher education	mathematics	http://www.math.bretagne.ens-cachan.fr/		7
2009	useR!	Rennes	https://www.r-project.org/conferences/useR-2009/	R. Bretagne	Région Bretagne	government	public	government	NA	http://www.region-bretagne.fr/		8
2009	useR!	Rennes	https://www.r-project.org/conferences/useR-2009/	SFdS	Société Française de Statistique	academic	nonprofit	scientific society	statistics	http://www.sfds.asso.fr/		9
2009	useR!	Rennes	https://www.r-project.org/conferences/useR-2009/	U. Rennes 2	Université Rennes 2 Haute-Bretagne	academic	public	higher education	NA	http://www.uhb.fr/index.jsp		10
2009	useR!	Rennes	https://www.r-project.org/conferences/useR-2009/	CRC Press	Chapman & Hall/CRC Press (Taylor & Francis)	company	private	academic publisher	NA	https://www.crcpress.com/		11
2009	useR!	Rennes	https://www.r-project.org/conferences/useR-2009/	Springer	Springer Publishing	company	private	academic publisher	NA	http://www.springer.com/		12
